comparison	element	configuration	system	epsilon	status	left_min_volume	left_bulk_modulus_ev_ang3	left_bulk_deriv	right_min_volume	right_bulk_modulus_ev_ang3	right_bulk_deriv
basis_improved_subset	Ag	X/BCC	Ag-X/BCC		missing_fit						
basis_improved_subset	Ag	X/Diamond	Ag-X/Diamond		missing_fit						
basis_improved_subset	Ag	X/FCC	Ag-X/FCC		missing_fit						
basis_improved_subset	Ag	X/SC	Ag-X/SC		missing_fit						
basis_improved_subset	Al	X/BCC	Al-X/BCC		missing_fit						
basis_improved_subset	Al	X/Diamond	Al-X/Diamond		missing_fit						
basis_improved_subset	Al	X/FCC	Al-X/FCC		missing_fit						
basis_improved_subset	Al	X/SC	Al-X/SC		missing_fit						
basis_improved_subset	Ar	X/BCC	Ar-X/BCC	1.4089833326	ok	51.6646181109	0.0046236415595	6.70963383638	53.237005829	0.00445956835011	7.34106260246
basis_improved_subset	Ar	X/Diamond	Ar-X/Diamond	1.40757177505	ok	190.777503442	0.0014472798236	7.78939188391	196.674432307	0.00133872100757	7.43570076258
basis_improved_subset	Ar	X/FCC	Ar-X/FCC	1.53541806015	ok	50.3857021394	0.0046560217561	7.05660073822	52.1914814031	0.00471125922759	7.31217212909
basis_improved_subset	Ar	X/SC	Ar-X/SC	1.64041241868	ok	62.311116094	0.00346656393168	7.8576405517	65.0880806191	0.00302797616308	7.51852767732
basis_improved_subset	As	X/BCC	As-X/BCC		missing_fit						
basis_improved_subset	As	X/Diamond	As-X/Diamond		missing_fit						
basis_improved_subset	As	X/FCC	As-X/FCC		missing_fit						
basis_improved_subset	As	X/SC	As-X/SC		missing_fit						
basis_improved_subset	At	X/BCC	At-X/BCC		missing_fit						
basis_improved_subset	At	X/Diamond	At-X/Diamond		missing_fit						
basis_improved_subset	At	X/FCC	At-X/FCC		missing_fit						
basis_improved_subset	At	X/SC	At-X/SC		missing_fit						
basis_improved_subset	Au	X/BCC	Au-X/BCC		missing_fit						
basis_improved_subset	Au	X/Diamond	Au-X/Diamond		missing_fit						
basis_improved_subset	Au	X/FCC	Au-X/FCC		missing_fit						
basis_improved_subset	Au	X/SC	Au-X/SC		missing_fit						
basis_improved_subset	B	X/BCC	B-X/BCC		missing_fit						
basis_improved_subset	B	X/Diamond	B-X/Diamond		missing_fit						
basis_improved_subset	B	X/FCC	B-X/FCC		missing_fit						
basis_improved_subset	B	X/SC	B-X/SC		missing_fit						
basis_improved_subset	Ba	X/BCC	Ba-X/BCC	0.674614748195	ok	64.0732374016	0.055272868876	3.01093005962	63.3726270932	0.0540689368274	2.87284374613
basis_improved_subset	Ba	X/Diamond	Ba-X/Diamond	1.91307722706	ok	125.739782139	0.0330831632152	8.30788818546	113.722935645	0.0509037365314	7.97326623602
basis_improved_subset	Ba	X/FCC	Ba-X/FCC	0.82388882343	ok	65.0567135459	0.0516546888784	2.66639041901	64.1599382067	0.0502171716233	2.52481126209
basis_improved_subset	Ba	X/SC	Ba-X/SC	1.41465359678	ok	63.6361135257	0.047874317682	3.7275149108	61.7238764426	0.0456633703273	3.58594784776
basis_improved_subset	Be	X/BCC	Be-X/BCC		missing_fit						
basis_improved_subset	Be	X/Diamond	Be-X/Diamond		missing_fit						
basis_improved_subset	Be	X/FCC	Be-X/FCC		missing_fit						
basis_improved_subset	Be	X/SC	Be-X/SC		missing_fit						
basis_improved_subset	Bi	X/BCC	Bi-X/BCC		missing_fit						
basis_improved_subset	Bi	X/Diamond	Bi-X/Diamond		missing_fit						
basis_improved_subset	Bi	X/FCC	Bi-X/FCC		missing_fit						
basis_improved_subset	Bi	X/SC	Bi-X/SC		missing_fit						
basis_improved_subset	Br	X/BCC	Br-X/BCC		missing_fit						
basis_improved_subset	Br	X/Diamond	Br-X/Diamond		missing_fit						
basis_improved_subset	Br	X/FCC	Br-X/FCC		missing_fit						
basis_improved_subset	Br	X/SC	Br-X/SC		missing_fit						
basis_improved_subset	C	X/BCC	C-X/BCC		missing_fit						
basis_improved_subset	C	X/Diamond	C-X/Diamond		missing_fit						
basis_improved_subset	C	X/FCC	C-X/FCC		missing_fit						
basis_improved_subset	C	X/SC	C-X/SC		missing_fit						
basis_improved_subset	Ca	X/BCC	Ca-X/BCC	1.70658921996	ok	43.5144343635	0.110233534976	3.03975845026	41.3993641549	0.102304657762	2.71980864749
