comparison	element	configuration	system	epsilon	status	left_min_volume	left_bulk_modulus_ev_ang3	left_bulk_deriv	right_min_volume	right_bulk_modulus_ev_ang3	right_bulk_deriv
total_improved_subset	Ac	X/BCC	Ac-X/BCC		missing_fit						
total_improved_subset	Ac	X/Diamond	Ac-X/Diamond		missing_fit						
total_improved_subset	Ac	X/FCC	Ac-X/FCC		missing_fit						
total_improved_subset	Ac	X/SC	Ac-X/SC		missing_fit						
total_improved_subset	Ag	X/BCC	Ag-X/BCC		missing_fit						
total_improved_subset	Ag	X/Diamond	Ag-X/Diamond		missing_fit						
total_improved_subset	Ag	X/FCC	Ag-X/FCC		missing_fit						
total_improved_subset	Ag	X/SC	Ag-X/SC		missing_fit						
total_improved_subset	Al	X/BCC	Al-X/BCC		missing_fit						
total_improved_subset	Al	X/Diamond	Al-X/Diamond		missing_fit						
total_improved_subset	Al	X/FCC	Al-X/FCC		missing_fit						
total_improved_subset	Al	X/SC	Al-X/SC		missing_fit						
total_improved_subset	Am	X/BCC	Am-X/BCC		missing_fit						
total_improved_subset	Am	X/Diamond	Am-X/Diamond		missing_fit						
total_improved_subset	Am	X/FCC	Am-X/FCC		missing_fit						
total_improved_subset	Am	X/SC	Am-X/SC		missing_fit						
total_improved_subset	Ar	X/BCC	Ar-X/BCC	1.46094055182	ok	51.6646181109	0.0046236415595	6.70963383638	53.3594836038	0.00442904414552	7.30835782823
total_improved_subset	Ar	X/Diamond	Ar-X/Diamond	1.46514716626	ok	190.777503442	0.0014472798236	7.78939188391	197.148459332	0.00133501630848	7.61559803032
total_improved_subset	Ar	X/FCC	Ar-X/FCC	1.57206827277	ok	50.3857021394	0.0046560217561	7.05660073822	52.2980276564	0.00473510730741	7.06169776254
total_improved_subset	Ar	X/SC	Ar-X/SC	1.66831504849	ok	62.311116094	0.00346656393168	7.8576405517	65.232822129	0.00301227095764	7.668672533
total_improved_subset	As	X/BCC	As-X/BCC		missing_fit						
total_improved_subset	As	X/Diamond	As-X/Diamond		missing_fit						
total_improved_subset	As	X/FCC	As-X/FCC		missing_fit						
total_improved_subset	As	X/SC	As-X/SC		missing_fit						
total_improved_subset	At	X/BCC	At-X/BCC		missing_fit						
total_improved_subset	At	X/Diamond	At-X/Diamond		missing_fit						
total_improved_subset	At	X/FCC	At-X/FCC		missing_fit						
total_improved_subset	At	X/SC	At-X/SC		missing_fit						
total_improved_subset	Au	X/BCC	Au-X/BCC		missing_fit						
total_improved_subset	Au	X/Diamond	Au-X/Diamond		missing_fit						
total_improved_subset	Au	X/FCC	Au-X/FCC		missing_fit						
total_improved_subset	Au	X/SC	Au-X/SC		missing_fit						
total_improved_subset	B	X/BCC	B-X/BCC		missing_fit						
total_improved_subset	B	X/Diamond	B-X/Diamond		missing_fit						
total_improved_subset	B	X/FCC	B-X/FCC		missing_fit						
total_improved_subset	B	X/SC	B-X/SC		missing_fit						
total_improved_subset	Ba	X/BCC	Ba-X/BCC	0.748125796668	ok	64.0732374016	0.055272868876	3.01093005962	63.2834987628	0.0542613457789	2.86851087083
total_improved_subset	Ba	X/Diamond	Ba-X/Diamond	1.92212179899	ok	125.739782139	0.0330831632152	8.30788818546	113.055425222	0.0516261373904	7.98330907317
total_improved_subset	Ba	X/FCC	Ba-X/FCC	0.875032323114	ok	65.0567135459	0.0516546888784	2.66639041901	64.0906271938	0.0504415420701	2.51649778474
total_improved_subset	Ba	X/SC	Ba-X/SC	1.46762766771	ok	63.6361135257	0.047874317682	3.7275149108	61.5745582021	0.0457161264618	3.59340986728
total_improved_subset	Be	X/BCC	Be-X/BCC		missing_fit						
total_improved_subset	Be	X/Diamond	Be-X/Diamond		missing_fit						
total_improved_subset	Be	X/FCC	Be-X/FCC		missing_fit						
total_improved_subset	Be	X/SC	Be-X/SC		missing_fit						
total_improved_subset	Bi	X/BCC	Bi-X/BCC		missing_fit						
total_improved_subset	Bi	X/Diamond	Bi-X/Diamond		missing_fit						
total_improved_subset	Bi	X/FCC	Bi-X/FCC		missing_fit						
total_improved_subset	Bi	X/SC	Bi-X/SC		missing_fit						
total_improved_subset	Bk	X/BCC	Bk-X/BCC		missing_fit						
total_improved_subset	Bk	X/Diamond	Bk-X/Diamond		missing_fit						
total_improved_subset	Bk	X/FCC	Bk-X/FCC		missing_fit						
total_improved_subset	Bk	X/SC	Bk-X/SC		missing_fit						
total_improved_subset	Br	X/BCC	Br-X/BCC		missing_fit						
total_improved_subset	Br	X/Diamond	Br-X/Diamond		missing_fit						
total_improved_subset	Br	X/FCC	Br-X/FCC		missing_fit						
total_improved_subset	Br	X/SC	Br-X/SC		missing_fit						
total_improved_subset	C	X/BCC	C-X/BCC		missing_fit						
total_improved_subset	C	X/Diamond	C-X/Diamond		missing_fit						
total_improved_subset	C	X/FCC	C-X/FCC		missing_fit						
total_improved_subset	C	X/SC	C-X/SC		missing_fit						
total_improved_subset	Ca	X/BCC	Ca-X/BCC	1.44820101139	ok	43.5144343635	0.110233534976	3.03975845026	42.1433054788	0.103527284392	2.74720339584
total_improved_subset	Ca	X/Diamond	Ca-X/Diamond	1.72155935543	ok	168.507366511	0.0247104624122	2.85114805787	159.932838315	0.0258139832462	2.73140833073
total_improved_subset	Ca	X/FCC	Ca-X/FCC	1.26179416812	ok	43.2595996824	0.108486302239	3.40481792727	42.1886379135	0.108450216511	3.26445951636
total_improved_subset	Ca	X/SC	Ca-X/SC	1.59163414237	ok	45.3774840114	0.0650728535929	3.55884584087	43.576945391	0.0672238747333	3.19131350455
total_improved_subset	Cd	X/BCC	Cd-X/BCC		missing_fit						
