basis	functional	molecule	path	cp2k_version	cp2k_revision	program_ended_count	geo_completed	geo_energy_au	property_energy_au	vibration_energy_au	last_energy_au	dipole_x_debye	dipole_y_debye	dipole_z_debye	dipole_total_debye	polar_xx_ang3	polar_yy_ang3	polar_zz_ang3	polar_xy_ang3	polar_xz_ang3	polar_yz_ang3	polar_mean_ang3	frequency_count	min_frequency_cm1	imaginary_frequency_count
DZVP	ADMM	Ag2	DZVP/ADMM/Ag2.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-74.98144400174911	-74.98497169869921		-74.98497169869921	-0.0	-0.0	0.0	0.0	7.979931225815	7.979931225815	19.035196175012	0.0	1.0315e-08	5.197e-09	11.665019542213999	2	-1.0	0
DZVP	ADMM	AgCl	DZVP/ADMM/AgCl.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-52.50644285742073	-52.50749524156717		-52.50749524156717	-0.0	-2e-08	-5.78925386	5.78925386	3.978033600658	3.97803360057	7.072245585989	-0.0	2.306e-09	5.939e-09	5.0094375957390005	2	-1.0	0
DZVP	ADMM	Al2O3	DZVP/ADMM/Al2O3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-52.12115971331902	-52.12795401572211		-52.12795401572211	0.0001786	0.0015388	3.22e-05	0.00154946	6.209269592431	6.209273381806	11.399519352028	-3.74544e-07	-5.56898e-07	-1.13865e-07	7.939354108755	12	-1.0	0
DZVP	ADMM	Al2S3	DZVP/ADMM/Al2S3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-34.80528458460598	-34.80529193011483		-34.80529193011483	-5e-08	8e-08	4.65907493	4.65907493	21.990387254927	9.66624898335	16.086683975785	4.4573e-08	1.671e-09	5.13879e-07	15.914440071354	12	-1.0	0
DZVP	ADMM	AlCl3	DZVP/ADMM/AlCl3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-47.2146998647592	-47.21465868282922		-47.21465868282922	-0.00011486	2e-08	-1e-08	0.00011486	8.43995865071	8.439732368388	5.304961096872	2.4087e-08	5.847e-09	3.974e-09	7.3948840386566665	8	-1.0	0
DZVP	ADMM	AlF3	DZVP/ADMM/AlF3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-74.8140580249852	-74.82367862464908		-74.82367862464908	-0.00133331	-2.99e-06	2.14e-06	0.00133332	2.613751715257	2.612719263541	2.192217759972	-5.33639e-07	3.2279e-07	-4.41318e-07	2.4728962462566666	8	-1.0	0
DZVP	ADMM	AlH3	DZVP/ADMM/AlH3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-3.777088283439165	-3.777073109077248		-3.777073109077248	1.395e-05	0.0	0.0	1.395e-05	3.304476755933	3.304485952177	2.96504466659	-8.5e-11	-1.12e-10	1.54e-09	3.1913357915666665	8	-1.0	0
DZVP	ADMM	AlN	DZVP/ADMM/AlN.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-11.758206936327193	-11.759981214308613		-11.759981214308613	-0.00043591	0.00047299	-4.79438791	4.79438795	8.988719442736	8.988719421612	8.280520510694	2.2271e-08	-5.6042903e-05	6.0898939e-05	8.752653125014	2	-1.0	0
DZVP	ADMM	As4	DZVP/ADMM/As4.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-25.266843476613438	-25.26697926166366		-25.26697926166366	-2e-08	-3e-08	-0.0	4e-08	15.609023527899	15.609023526354	15.609023526924	-1.7867e-08	-2.005918e-06	-1.351849e-06	15.609023527059	8	-1.0	0
DZVP	ADMM	As4S4	DZVP/ADMM/As4S4.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-66.10321075139204	-66.10333581093064		-66.10333581093064	-2.3e-07	-2.2e-07	1.41e-06	1.45e-06	23.25733024663	23.257330112661	31.708806605755	-3.2744e-08	-6.3655e-08	-9.9744e-08	26.074488988348666	24	-161.879968	1
DZVP	ADMM	AsCl3	DZVP/ADMM/AsCl3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-51.34951249935302	-51.34952487136936		-51.34952487136936	-0.00012977	-2e-08	1.68304318	1.68304319	10.233980443782	10.233151099206	6.737212145285	4.5519e-08	7.9800877e-05	4.1113e-08	9.068114562757666	8	-1.0	0
DZVP	ADMM	AsCl6-	DZVP/ADMM/AsCl6-.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-96.42604120725682	-96.42602561315891		-96.42602561315891	-38.42563417	-38.42563388	-38.425634	66.55515043	16.088944785772	16.088944795345	16.089051543898	-6.3816e-08	-7.2138e-08	-5.7861e-08	16.088980375005	20	-1.0	0
DZVP	ADMM	AsH3	DZVP/ADMM/AsH3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-8.060238103969162	-8.060247236773673		-8.060247236773673	1.02e-06	-2e-08	-0.67440229	0.67440229	3.494612689932	3.494601475019	3.144287779246	-7.81e-10	1.5363723e-05	-1.145e-08	3.377833981399	8	-1.0	0
DZVP	ADMM	Au2	DZVP/ADMM/Au2.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-66.6684925953311	-66.67049664437252		-66.67049664437252	0.0	-0.0	2e-08	2e-08	6.471073030508	6.471073030508	16.250105829369	0.0	-1.31494e-07	-3.3477e-08	9.730750630128334	2	-1.0	0
DZVP	ADMM	Au3-	DZVP/ADMM/Au3-.results	CP2K version 9.0 (Development Version)	git:403ef05	2	True	-100.12904714221457			-100.12904714221457												4	-1.0	0
DZVP	ADMM	AuCl	DZVP/ADMM/AuCl.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-48.32588278681805	-48.326606808414496		-48.326606808414496	-2.5e-07	-1.1e-07	-3.94434514	3.94434514	4.123823654273	4.123823654518	8.016004195118	-0.0	2.86043e-07	1.29527e-07	5.421217167969666	2	-1.0	0
DZVP	ADMM	AuCl3	DZVP/ADMM/AuCl3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-78.30908498300391	-78.30970167369014		-78.30970167369014	-0.34392367	-0.60124363	0.00681831	0.69269321	15.735921429709	12.127606028772	5.624327370667	-3.074017769515	-0.05785906359	-0.022471331683	11.162618276382666	8	-1.0	0
DZVP	ADMM	B3N3H6	DZVP/ADMM/B3N3H6.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-42.025607331016204	-42.028945956280616		-42.028945956280616	4.81e-06	8.9e-07	7e-08	4.89e-06	9.181387516974	9.181320063804	5.009583150676	6.76635e-07	2.9983e-08	-1.838e-09	7.790763577151334	40	-1.0	0
DZVP	ADMM	B4H4	DZVP/ADMM/B4H4.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-13.51243196485503	-13.513180089225582		-13.513180089225582	4e-08	-1.2e-07	-2e-08	1.3e-07	6.981672661378	6.981673074871	6.98169957043	-2.1648e-08	4.67284e-07	-1.08832e-07	6.981681768893	24	-1.0	0
DZVP	ADMM	BF3	DZVP/ADMM/BF3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-75.54025610792581	-75.55079735033313		-75.55079735033313	0.0044798	2.023e-05	1.4e-07	0.00447985	2.17298206538	2.1690879062	1.531218586694	-3.59606e-07	-2.5995e-08	8.208e-09	1.957762852758	8	-1.0	0
DZVP	ADMM	BH3	DZVP/ADMM/BH3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-4.549426040650481	-4.549361568376133		-4.549361568376133	-0.0	-0.0	9.85e-06	9.85e-06	1.983852159097	1.601169536306	1.983862499991	-1.0778e-08	-9.2e-11	-8.972e-09	1.856294731798	8	-1.0	0
DZVP	ADMM	BH3CO	DZVP/ADMM/BH3CO.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-26.249463260641352	-26.25240647699648		-26.25240647699648	0.00814265	-1.18252036	-1.1e-07	1.1825484	3.110105402509	6.341636693289	3.111214618264	-0.020260672383	5.7215e-08	9.2451e-07	4.187652238020667	16	-1.0	0
DZVP	ADMM	BH3NH3	DZVP/ADMM/BH3NH3.results	CP2K version 9.0 (Development Version)	git:403ef05	3	True	-16.325740198446674	-16.326160716790596		-16.326160716790596	-1.2e-07	-7.82e-06	-5.29145291	5.29145291	3.220648989251	3.220630147665	4.013176741339	-3.07019e-07	-8.244246e-06	1.387644e-06	3.484818626085	24	-1.0	0
