functional	molecule	path	normal_termination	stationary_point	scf_energy_count	last_scf_energy_au	dipole_x_debye	dipole_y_debye	dipole_z_debye	dipole_total_debye	polar_xx_au	polar_xy_au	polar_yy_au	polar_xz_au	polar_yz_au	polar_zz_au	polar_mean_au	frequency_count	min_frequency_cm1	imaginary_frequency_count
PBE	Ag2	PBE/SMDB_Ag2.log	True	True	4	-294.037906481	0.0	0.0	0.0	0.0	68.256	0.0	68.256	0.0	0.0	129.87	88.794	1	184.707	0
PBE	AgCl	PBE/SMDB_AgCl.log	True	True	4	-607.076757098	0.0	0.0	4.8604	4.8604	35.993	0.0	35.993	-0.0	0.0	61.096	44.36066666666667	1	331.0289	0
PBE	Al2O3	PBE/SMDB_Al2O3.log	True	True	4	-710.271836078	0.0	0.0	-0.0	0.0	56.408	-0.0	56.408	0.0	0.0	98.183	70.33300000000001	10	46.5726	0
PBE	Al2S3	PBE/SMDB_Al2S3.log	True	True	6	-1678.90426552	0.0	-0.0	4.1776	4.1776	91.416	-0.0	189.679	0.0	0.0	126.846	135.98033333333333	9	34.7812	0
PBE	AlCl3	PBE/SMDB_AlCl3.log	True	True	4	-1622.64367005	-0.0	0.0	-0.0	0.0	72.032	-0.0	72.035	0.0	0.0	49.729	64.59866666666666	6	140.5616	0
PBE	AlF3	PBE/SMDB_AlF3.log	True	True	4	-541.941852201	0.0	-0.0	0.0	0.0	23.199	0.0	23.197	0.0	0.0	20.042	22.146	6	238.8559	0
PBE	AlH3	PBE/SMDB_AlH3.log	True	True	3	-244.059405952	0.0	0.0	0.0	0.0	36.275	0.0	36.276	-0.0	0.0	28.311	33.620666666666665	6	679.7077	0
PBE	AlN	PBE/SMDB_AlN.log	True	True	6	-296.784945235	0.0	0.0	1.2276	1.2276								1	596.0877	0
PBE	As4	PBE/SMDB_As4.log	True	True	4	-8942.50140727	0.0	0.0	-0.0	0.0	114.947	0.0	114.947	0.0	0.0	114.947	114.947	6	205.3392	0
PBE	As4S4	PBE/SMDB_As4S4.log	True	True	6	-10534.7243357	0.0	0.0	-0.0	0.0	175.912	0.0	175.912	0.0	-0.0	242.834	198.21933333333334	18	-132.5383	1
PBE	AsCl3	PBE/SMDB_AsCl3.log	True	True	4	-3615.81829001	-0.0	-0.0	1.483	1.483	82.072	-0.0	82.068	-0.0	0.0	57.281	73.807	6	138.9208	0
PBE	AsCl6-	PBE/SMDB_AsCl6-.log	True	True	4	-4996.05961937	0.0	-0.0	0.0	0.0	132.913	-0.0	132.913	-0.0	-0.0	132.913	132.913	15	122.6671	0
PBE	AsH3	PBE/SMDB_AsH3.log	True	True	3	-2237.36876326	-0.0	-0.0	-0.2627	0.2627	33.932	0.0	33.932	0.0	-0.0	34.315	34.059666666666665	6	890.9109	0
PBE	Au2	PBE/SMDB_Au2.log	True	True	4	-271.577669675	-0.0	0.0	0.0	0.0	58.261	0.0	58.261	0.0	0.0	108.499	75.007	1	174.5257	0
PBE	Au3-	PBE/SMDB_Au3-.log	True	True	4	-407.500517351	0.0	0.0	-0.0	0.0	109.449	0.0	109.449	0.0	0.0	299.972	172.95666666666668	4	35.7936	0
PBE	AuCl	PBE/SMDB_AuCl.log	True	True	4	-595.832132847	0.0	0.0	3.1271	3.1271	38.742	0.0	38.742	0.0	0.0	63.678	47.053999999999995	1	362.5786	0
PBE	AuCl3	PBE/SMDB_AuCl3.log	False	False	1	-1515.89613787												0		0
PBE	B2H6	PBE/SMDB_B2H6.log	True	True	14	-128.098198118	0.0002	-0.0003	0.0004	0.0005								21	0.1985	0
PBE	B3N3H6	PBE/SMDB_B3N3H6.log	True	True	3	-242.442318947	0.0003	-0.0003	-0.0	0.0005	74.84	0.0	74.84	0.0	-0.0	44.688	64.78933333333333	30	279.0697	0
PBE	B4H4	PBE/SMDB_B4H4.log	True	True	4	-101.569517237	-0.0	0.0	0.0	0.0	54.5	0.0	54.499	-0.0	0.001	54.499	54.49933333333333	18	595.7792	0
PBE	BF3	PBE/SMDB_BF3.log	True	True	3	-324.40446317	0.0	0.0005	-0.0	0.0005	18.052	-0.0	18.055	0.0	0.0	13.44	16.515666666666664	6	458.3584	0
