release_path	source_path	note
cp2k-data/BASIS_MOLOPT_UZH	cp2k/cp2k:data/BASIS_MOLOPT_UZH	Official CP2K master data file
cp2k-data/BASIS_ADMM_UZH	cp2k/cp2k:data/BASIS_ADMM_UZH	Official CP2K master data file
cp2k-data/BASIS_TB_UZH	cp2k/cp2k:data/BASIS_TB_UZH	Official CP2K master data file
cp2k-data/BASIS_ccGRB_UZH	cp2k/cp2k:data/BASIS_ccGRB_UZH	Official CP2K master data file
cp2k-data/POTENTIAL_UZH	cp2k/cp2k:data/POTENTIAL_UZH	Official CP2K master data file
data/cp2k-gth-uzh/original-settings	potential-fitting/GTH-UZH	Original CP2K/GTH-UZH verification outputs
data/cp2k-gth-uzh/improved-basis-settings	potential-fitting/GTH-UZH/new_BASIS_MOLOPT_UZH	CP2K/GTH-UZH verification after basis improvement
data/cp2k-gth-uzh/resubmissions/resubmit-1	potential-fitting/GTH-UZH/resubmit	Focused CP2K/GTH-UZH reruns
data/cp2k-gth-uzh/resubmissions/resubmit-2	potential-fitting/GTH-UZH/resubmit_2	Focused CP2K/GTH-UZH reruns
data/cp2k-gth-uzh/noble-gas-augmented-basis	potential-fitting/GTH-UZH/AUG_BASIS_NGs	Noble-gas augmented-basis tests
data/sirius-gth-uzh/original-settings	potential-fitting/SIRIUS_UZH	Original SIRIUS/GTH-UZH verification outputs
data/sirius-gth-uzh/improved-pseudopotentials	potential-fitting/SIRIUS_UZH/new_potentials	SIRIUS/GTH-UZH verification after pseudopotential improvement
data/sirius-gth-uzh/pseudopotential-update-comparison	potential-fitting/SIRIUS_UZH/UZH_GTH_ppnew and old_vs_new	Focused pseudopotential before/after comparisons
data/sirius-gth-uzh/sr-diamond-test	potential-fitting/SIRIUS_UZH/test	Focused Sr diamond input/output test
data/sirius-fp-lapw/reference	potential-fitting/SIRIUS_lapw	SIRIUS all-electron FP-LAPW reference results
data/molecular-calibration/structures/small-molecule-database	Zenodo record 7841955 / MolTest/SM	Original small-molecule XYZ structures
data/molecular-calibration/gaussian16/inputs	Zenodo record 7841955 / MolTest/SMG16	Gaussian16 reference input files
data/molecular-calibration/gaussian16/logs	Zenodo record 7841955 / MolTest/SMG16	Gaussian16 reference output logs
data/molecular-calibration/cp2k/inputs	Zenodo record 7841955 / MolTest/SMCP2K	CP2K molecular input files
data/molecular-calibration/cp2k/optimized-structures	Zenodo record 7841955 / MolTest/SMCP2K	CP2K molecular XYZ coordinate outputs
data/molecular-calibration/cp2k/run-scripts	Zenodo record 7841955 / MolTest/SMCP2K	CP2K molecular run scripts
data/molecular-calibration/summaries	Zenodo record 7841955 / parsed MolTest outputs	Compact summary tables parsed from CP2K and Gaussian16 outputs
data/derived-epsilon-tables	scripts/epsilon/compute_uzh_epsilon_tables.py	Derived epsilon tables generated from deposited ACWF-style JSON result files
scripts/acwf-verification/upstream	aiidateam/acwf-verification-scripts	Reusable MIT-licensed ACWF verification submission, export, analysis, and plotting scripts
scripts/epsilon/compute_uzh_epsilon_tables.py	UZH protocol repository	UZH-specific wrapper for deriving epsilon tables from deposited JSON files
